,n,success_rate,violation_rate,tokens_input_mean,tokens_output_mean,latency_ms_mean,delta_success,delta_success_ci_low,delta_success_ci_high,mcnemar_success_p,delta_tokens,delta_tokens_ci_low,delta_tokens_ci_high,wilcoxon_tokens_p,delta_violation,delta_violation_ci_low,delta_violation_ci_high,mcnemar_violation_p,degradation_rate,delta_success_per_task,holm_success_p_adj,holm_success_reject,holm_tokens_p_adj,holm_tokens_reject,holm_violation_p_adj,holm_violation_reject
direct,60.0,0.55,0.45,1969.3833333333334,250.96666666666667,0.018575666884620052,,,,,,,,,,,,,,,,,,,,
full_regen,60,0.5833333333333334,0.4166666666666667,3938.766666666667,498.8,6675.776522199885,0.03333333333333333,-0.08333333333333333,0.15,0.7744140625,2217.2166666666667,2170.7820833333335,2262.50625,1.6277666096275908e-11,-0.03333333333333333,-0.15,0.08333333333333333,0.7744140625,0.15151515151515152,0.03333333333333333,1.0,False,3.4183098802179406e-10,True,1.0,False
intro_specter_llm,60,0.7333333333333333,0.26666666666666666,4410.516666666666,555.4666666666667,15756.716268049906,0.18333333333333332,0.08333333333333333,0.2833333333333333,0.0009765625,2745.633333333333,2678.1662499999998,2811.7354166666664,1.629555794311934e-11,-0.18333333333333332,-0.2833333333333333,-0.08333333333333333,0.0009765625,0.0,0.18333333333333332,0.013671875,True,3.4183098802179406e-10,True,0.013671875,True
react,60,0.5833333333333334,0.4166666666666667,3994.75,674.7833333333333,11903.819135466741,0.03333333333333333,-0.05,0.13333333333333333,0.7265625,2449.1833333333334,2391.2829166666666,2507.1349999999998,1.6290444152540584e-11,-0.03333333333333333,-0.13333333333333333,0.05,0.7265625,0.09090909090909091,0.03333333333333333,1.0,False,3.4183098802179406e-10,True,1.0,False
reflexion,60,0.7333333333333333,0.26666666666666666,5514.966666666666,572.4666666666667,9837.121023700212,0.18333333333333332,0.1,0.2833333333333333,0.0009765625,3867.0833333333335,2723.28875,5064.017083333333,1.4901161193847656e-08,-0.18333333333333332,-0.2833333333333333,-0.1,0.0009765625,0.0,0.18333333333333332,0.013671875,True,2.2351741790771484e-07,True,0.013671875,True
self_refine,60,0.5,0.5,4259.1,733.7666666666667,19824.647577133634,-0.05,-0.13333333333333333,0.016666666666666666,0.375,2772.516666666667,2692.2495833333332,2853.3333333333335,1.629555794311934e-11,0.05,-0.016666666666666666,0.13333333333333333,0.375,0.12121212121212122,-0.05,1.0,False,3.4183098802179406e-10,True,1.0,False
selfcheckgpt,60,0.5333333333333333,0.4666666666666667,11750.766666666666,411.8333333333333,6294.529871615911,-0.016666666666666666,-0.06666666666666667,0.03333333333333333,1.0,9942.25,9680.810833333335,10202.968333333334,1.629555794311934e-11,0.016666666666666666,-0.03333333333333333,0.06666666666666667,1.0,0.06060606060606061,-0.016666666666666666,1.0,False,3.4183098802179406e-10,True,1.0,False
tot,53,0.6792452830188679,0.32075471698113206,80127.47169811321,2557.5471698113206,69512.5199103583,0.11320754716981132,0.0,0.22641509433962265,0.109375,80464.88679245283,73895.09764150943,86227.35990566039,2.3864847525460643e-10,-0.11320754716981132,-0.22641509433962265,0.0,0.109375,0.06666666666666667,0.11320754716981132,1.0,False,3.818375604073703e-09,True,1.0,False
