,n,success_rate,violation_rate,tokens_input_mean,tokens_output_mean,latency_ms_mean,delta_success,delta_success_ci_low,delta_success_ci_high,mcnemar_success_p,delta_tokens,delta_tokens_ci_low,delta_tokens_ci_high,wilcoxon_tokens_p,delta_violation,delta_violation_ci_low,delta_violation_ci_high,mcnemar_violation_p,degradation_rate,delta_success_per_task,holm_success_p_adj,holm_success_reject,holm_tokens_p_adj,holm_tokens_reject,holm_violation_p_adj,holm_violation_reject
direct,120.0,0.8583333333333333,0.14166666666666666,1686.8833333333334,245.73333333333332,0.028287483170667354,,,,,,,,,,,,,,,,,,,,
full_regen,120,0.8416666666666667,0.15833333333333333,3373.475,496.89166666666665,13233.47505556691,-0.016666666666666666,-0.08333333333333333,0.05,0.803619384765625,1937.75,1897.7997916666666,1977.0354166666666,1.9712568584476245e-21,0.016666666666666666,-0.05,0.08333333333333333,0.803619384765625,0.08737864077669903,-0.016666666666666666,1.0,False,4.1394773005689037e-20,True,1.0,False
intro_specter_llm,120,0.9166666666666666,0.08333333333333333,3872.425,620.0,17670.92825279154,0.058333333333333334,0.025,0.1,0.015625,2559.8083333333334,2506.0483333333336,2613.725625,1.971411250141285e-21,-0.058333333333333334,-0.1,-0.025,0.015625,0.0,0.058333333333333334,0.1875,False,4.1394773005689037e-20,True,0.1875,False
react,120,0.7916666666666666,0.20833333333333334,3427.0583333333334,714.4083333333333,14082.969309332839,-0.06666666666666667,-0.14166666666666666,0.008333333333333333,0.13380050659179688,2208.85,2169.282708333333,2248.466875,1.9711796669375733e-21,0.06666666666666667,-0.008333333333333333,0.14166666666666666,0.13380050659179688,0.14563106796116504,-0.06666666666666667,0.8028030395507812,False,4.1394773005689037e-20,True,0.8028030395507812,False
reflexion,120,0.925,0.075,2664.25,340.3666666666667,2852.2353156082922,0.06666666666666667,0.025,0.11666666666666667,0.0078125,1072.0,606.2139583333334,1594.3085416666668,1.52587890625e-05,-0.06666666666666667,-0.11666666666666667,-0.025,0.0078125,0.0,0.06666666666666667,0.109375,False,0.0002288818359375,True,0.109375,False
self_refine,120,0.7583333333333333,0.24166666666666667,3719.008333333333,662.7916666666666,11275.078195099195,-0.1,-0.175,-0.025,0.022655844688415527,2449.1833333333334,2399.3314583333336,2501.1681249999997,1.971565653400414e-21,0.1,0.025,0.175,0.022655844688415527,0.17475728155339806,-0.1,0.224609375,False,4.1394773005689037e-20,True,0.224609375,False
selfcheckgpt,120,0.7833333333333333,0.21666666666666667,9996.541666666666,376.2583333333333,17547.405833316952,-0.075,-0.13333333333333333,-0.016666666666666666,0.0224609375,8440.183333333332,8231.063958333334,8648.541874999999,1.9717972799760906e-21,0.075,0.016666666666666666,0.13333333333333333,0.0224609375,0.10679611650485436,-0.075,0.224609375,False,4.1394773005689037e-20,True,0.224609375,False
tot,20,0.75,0.25,47125.7,1530.7,82906.73609999867,-0.1,-0.25,0.0,0.5,46743.0,32368.670000000006,61118.7725,1.9073486328125e-06,0.1,0.0,0.25,0.5,0.11764705882352941,-0.1,1.0,False,3.0517578125e-05,True,1.0,False
