,n,success_rate,violation_rate,tokens_input_mean,tokens_output_mean,latency_ms_mean,delta_success,delta_success_ci_low,delta_success_ci_high,mcnemar_success_p,delta_tokens,delta_tokens_ci_low,delta_tokens_ci_high,wilcoxon_tokens_p,delta_violation,delta_violation_ci_low,delta_violation_ci_high,mcnemar_violation_p,degradation_rate,delta_success_per_task,holm_success_p_adj,holm_success_reject,holm_tokens_p_adj,holm_tokens_reject,holm_violation_p_adj,holm_violation_reject
direct,120.0,0.4583333333333333,0.5416666666666666,1912.7,305.40833333333336,0.02416011726988169,,,,,,,,,,,,,,,,,,,,
full_regen,120,0.44166666666666665,0.5583333333333333,3825.4,609.6333333333333,16720.918489574615,-0.016666666666666666,-0.09166666666666666,0.058333333333333334,0.8238029479980469,2216.925,2183.6916666666666,2250.125,1.9711796669375733e-21,0.016666666666666666,-0.058333333333333334,0.09166666666666666,0.8238029479980469,0.2,-0.016666666666666666,1.0,False,4.1388289525944854e-20,True,1.0,False
intro_specter_llm,120,0.525,0.475,4386.408333333334,654.725,18670.26273574981,0.06666666666666667,0.025,0.11666666666666667,0.0078125,2823.025,2780.448958333333,2868.0004166666668,1.9709481097533464e-21,-0.06666666666666667,-0.11666666666666667,-0.025,0.0078125,0.0,0.06666666666666667,0.078125,False,4.1388289525944854e-20,True,0.078125,False
react,120,0.43333333333333335,0.5666666666666667,3878.4,818.2333333333333,11456.20629342484,-0.025,-0.09166666666666666,0.041666666666666664,0.629058837890625,2478.525,2447.5664583333332,2509.184375,1.970870929806898e-21,0.025,-0.041666666666666664,0.09166666666666666,0.629058837890625,0.18181818181818182,-0.025,1.0,False,4.1388289525944854e-20,True,1.0,False
reflexion,120,0.65,0.35,6571.291666666667,397.1666666666667,4576.141398966502,0.19166666666666668,0.125,0.26666666666666666,2.384185791015625e-07,4750.35,3929.8747916666666,5558.723958333333,2.4051050298460756e-12,-0.19166666666666668,-0.26666666666666666,-0.125,2.384185791015625e-07,0.0,0.19166666666666668,3.337860107421875e-06,True,3.607657544769113e-11,True,3.337860107421875e-06,True
self_refine,120,0.43333333333333335,0.5666666666666667,4232.408333333334,823.425,10357.616397609187,-0.025,-0.10833333333333334,0.058333333333333334,0.6900379657745361,2837.725,2790.739791666667,2887.4860416666666,1.9709481097533464e-21,0.025,-0.058333333333333334,0.10833333333333334,0.6900379657745361,0.2545454545454545,-0.025,1.0,False,4.1388289525944854e-20,True,1.0,False
selfcheckgpt,120,0.35833333333333334,0.6416666666666667,11548.058333333332,457.23333333333335,15221.44687219152,-0.1,-0.15833333333333333,-0.05,0.00048828125,9787.183333333332,9570.124583333334,10011.518333333333,1.9717972799760906e-21,0.1,0.05,0.15833333333333333,0.00048828125,0.21818181818181817,-0.1,0.005859375,True,4.1388289525944854e-20,True,0.005859375,True
tot,120,0.38333333333333336,0.6166666666666667,60917.25,2305.45,79261.52672090841,-0.075,-0.15,0.0,0.0783538818359375,61004.59166666667,56399.838125,65734.30708333332,1.9718744946182855e-21,0.075,0.0,0.15,0.0783538818359375,0.2727272727272727,-0.075,0.6268310546875,False,4.1388289525944854e-20,True,0.6268310546875,False
