,n,success_rate,violation_rate,tokens_input_mean,tokens_output_mean,latency_ms_mean,delta_success,delta_success_ci_low,delta_success_ci_high,mcnemar_success_p,delta_tokens,delta_tokens_ci_low,delta_tokens_ci_high,wilcoxon_tokens_p,delta_violation,delta_violation_ci_low,delta_violation_ci_high,mcnemar_violation_p,degradation_rate,delta_success_per_task,holm_success_p_adj,holm_success_reject,holm_tokens_p_adj,holm_tokens_reject,holm_violation_p_adj,holm_violation_reject
direct,60.0,0.5666666666666667,0.43333333333333335,1707.7,441.8666666666667,0.09240423484394948,,,,,,,,,,,,,,,,,,,,
full_regen,60,0.5666666666666667,0.43333333333333335,3415.4,903.2833333333333,11761.314609623514,0.0,-0.08333333333333333,0.08333333333333333,1.0,2169.116666666667,2122.099583333333,2215.63375,1.6293000864348577e-11,0.0,-0.08333333333333333,0.08333333333333333,1.0,0.08823529411764706,0.0,1.0,False,3.420456439605985e-10,True,1.0,False
intro_specter_llm,60,0.6166666666666667,0.38333333333333336,4147.333333333333,927.9833333333333,22559.18118195841,0.05,0.0,0.11666666666666667,0.25,2925.75,2853.38125,3004.384583333333,1.6293000864348577e-11,-0.05,-0.11666666666666667,0.0,0.25,0.0,0.05,1.0,False,3.420456439605985e-10,True,1.0,False
react,60,0.6666666666666666,0.3333333333333333,3469.4,1262.15,19637.211556953844,0.1,-0.016666666666666666,0.21666666666666667,0.1795654296875,2581.983333333333,2527.4979166666667,2636.7858333333334,1.6287887807647548e-11,-0.1,-0.21666666666666667,0.016666666666666666,0.1795654296875,0.11764705882352941,0.1,1.0,False,3.420456439605985e-10,True,1.0,False
reflexion,60,0.7166666666666667,0.2833333333333333,5370.866666666667,996.05,12482.048793610496,0.15,0.06666666666666667,0.23333333333333334,0.00390625,4217.35,2950.7654166666666,5515.832083333333,2.9802322387695312e-08,-0.15,-0.23333333333333334,-0.06666666666666667,0.00390625,0.0,0.15,0.0546875,False,4.470348358154297e-07,True,0.0546875,False
self_refine,60,0.55,0.45,3995.3333333333335,1045.1666666666667,49979.2204556521,-0.016666666666666666,-0.13333333333333333,0.08333333333333333,1.0,2890.9333333333334,2809.46375,2974.16875,1.6293000864348577e-11,0.016666666666666666,-0.08333333333333333,0.13333333333333333,1.0,0.17647058823529413,-0.016666666666666666,1.0,False,3.420456439605985e-10,True,1.0,False
selfcheckgpt,60,0.6333333333333333,0.36666666666666664,10419.316666666668,715.05,9973.870323652713,0.06666666666666667,0.016666666666666666,0.13333333333333333,0.125,8984.8,8720.432916666667,9254.70125,1.629555794311934e-11,-0.06666666666666667,-0.13333333333333333,-0.016666666666666666,0.125,0.0,0.06666666666666667,1.0,False,3.420456439605985e-10,True,1.0,False
tot,60,0.6166666666666667,0.38333333333333336,56366.25,2888.9666666666667,65335.03723332736,0.05,-0.06666666666666667,0.16666666666666666,0.5810546875,57105.65,50217.64041666666,63679.598750000005,1.629555794311934e-11,-0.05,-0.16666666666666666,0.06666666666666667,0.5810546875,0.14705882352941177,0.05,1.0,False,3.420456439605985e-10,True,1.0,False
