,n,success_rate,violation_rate,tokens_input_mean,tokens_output_mean,latency_ms_mean,delta_success,delta_success_ci_low,delta_success_ci_high,mcnemar_success_p,delta_tokens,delta_tokens_ci_low,delta_tokens_ci_high,wilcoxon_tokens_p,delta_violation,delta_violation_ci_low,delta_violation_ci_high,mcnemar_violation_p,degradation_rate,delta_success_per_task,holm_success_p_adj,holm_success_reject,holm_tokens_p_adj,holm_tokens_reject,holm_violation_p_adj,holm_violation_reject
direct,120.0,0.6916666666666667,0.30833333333333335,1930.3083333333334,183.95,0.025552791824641947,,,,,,,,,,,,,,,,,,,,
full_regen,120,0.7166666666666667,0.2833333333333333,3860.325,361.34166666666664,11763.277597533912,0.025,-0.041666666666666664,0.09166666666666666,0.6476058959960938,2107.4083333333333,2079.358333333333,2135.716875,1.97071657858581e-21,-0.025,-0.09166666666666666,0.041666666666666664,0.6476058959960938,0.0963855421686747,0.025,1.0,False,4.138504815030201e-20,True,1.0,False
intro_specter_llm,120,0.7666666666666667,0.23333333333333334,4251.158333333334,464.03333333333336,18022.66734416674,0.075,0.03333333333333333,0.125,0.00390625,2600.9333333333334,2553.1579166666666,2650.067708333333,1.971025292590559e-21,-0.075,-0.125,-0.03333333333333333,0.00390625,0.0,0.075,0.0546875,False,4.138504815030201e-20,True,0.0546875,False
react,120,0.7,0.3,3913.616666666667,628.125,13536.586219425104,0.008333333333333333,-0.075,0.09166666666666666,1.0,2427.483333333333,2396.791458333333,2457.1756250000003,1.9709481097533464e-21,-0.008333333333333333,-0.09166666666666666,0.075,1.0,0.14457831325301204,0.008333333333333333,1.0,False,4.138504815030201e-20,True,1.0,False
reflexion,120,0.725,0.275,4593.583333333333,314.6666666666667,5852.076587165841,0.03333333333333333,0.008333333333333333,0.06666666666666667,0.125,2793.991666666667,2044.145625,3556.7391666666663,1.1397432479304981e-07,-0.03333333333333333,-0.06666666666666667,-0.008333333333333333,0.125,0.0,0.03333333333333333,1.0,False,1.823589196688797e-06,True,1.0,False
self_refine,120,0.5916666666666667,0.4083333333333333,4097.158333333334,522.6166666666667,9368.848171534046,-0.1,-0.18333333333333332,-0.025,0.022655844688415527,2505.516666666667,2460.2410416666667,2551.983333333333,1.971565653400414e-21,0.1,0.025,0.18333333333333332,0.022655844688415527,0.21686746987951808,-0.1,0.22655844688415527,False,4.138504815030201e-20,True,0.22655844688415527,False
selfcheckgpt,120,0.7666666666666667,0.23333333333333334,11585.125,344.775,12049.024288884539,0.075,0.025,0.13333333333333333,0.01171875,9815.641666666666,9631.431875,10009.276666666667,1.9718744946182855e-21,-0.075,-0.13333333333333333,-0.025,0.01171875,0.012048192771084338,0.075,0.140625,False,4.138504815030201e-20,True,0.140625,False
tot,10,0.3,0.7,74469.2,1992.9,100527.98117490165,-0.2,-0.5,0.0,0.5,74328.8,56999.57500000001,87651.4775,0.001953125,0.2,0.0,0.5,0.5,0.4,-0.2,1.0,False,0.029296875,True,1.0,False
