dataset,model,direct_n,direct_success,react_n,react_success,self_refine_n,self_refine_success,reflexion_n,reflexion_success,full_regen_n,full_regen_success,tot_n,tot_success,selfcheckgpt_n,selfcheckgpt_success,intro_specter_llm_n,intro_specter_llm_success
hotpotqa_real,deepseek-v3,36,0.8333333333333334,36,0.8055555555555556,36,0.7777777777777778,36,0.9166666666666666,36,0.7777777777777778,36,0.8611111111111112,36,0.9166666666666666,36,0.8611111111111112
hotpotqa_real,gemini-2.5-flash,36,0.8055555555555556,36,0.8055555555555556,36,0.7222222222222222,36,0.8333333333333334,36,0.7777777777777778,35,0.8571428571428571,36,0.75,36,0.8333333333333334
hotpotqa_real,gpt-oss-20b,36,0.9166666666666666,36,0.8333333333333334,36,0.8888888888888888,36,0.9722222222222222,36,0.8888888888888888,16,0.9375,23,0.9130434782608695,36,0.9444444444444444
hotpotqa_real,llama-3.1-8b,36,0.9166666666666666,36,0.9166666666666666,36,0.9166666666666666,36,0.9444444444444444,36,0.8888888888888888,36,0.7777777777777778,36,0.75,36,0.9722222222222222
hotpotqa_real,llama-3.3-70b,36,0.8333333333333334,36,0.8055555555555556,36,0.7777777777777778,36,0.9722222222222222,36,0.8611111111111112,36,0.8333333333333334,36,0.7777777777777778,36,0.8611111111111112
hotpotqa_real,mistral-nemo-12b,36,0.8333333333333334,36,0.8333333333333334,36,0.8055555555555556,36,0.8611111111111112,36,0.8888888888888888,30,0.8666666666666667,35,0.8,36,0.9166666666666666
hotpotqa_real,qwen-2.5-7b,36,0.7777777777777778,36,0.7777777777777778,36,0.8055555555555556,36,0.8333333333333334,36,0.6944444444444444,3,0.3333333333333333,36,0.7222222222222222,36,0.9166666666666666
strategyqa_real,deepseek-v3,36,0.9166666666666666,36,0.9166666666666666,36,0.9166666666666666,36,0.9722222222222222,36,0.9444444444444444,36,0.8888888888888888,36,0.9166666666666666,36,0.9444444444444444
strategyqa_real,gemini-2.5-flash,36,0.9166666666666666,36,0.9444444444444444,36,0.9444444444444444,36,0.9722222222222222,36,0.9444444444444444,36,0.9166666666666666,36,0.9166666666666666,36,0.9444444444444444
strategyqa_real,gpt-oss-20b,36,0.9166666666666666,36,0.9444444444444444,36,0.9166666666666666,36,1.0,35,0.8857142857142857,4,1.0,21,0.9523809523809523,36,0.9166666666666666
strategyqa_real,llama-3.1-8b,36,0.6944444444444444,36,0.6666666666666666,36,0.4444444444444444,36,1.0,36,0.5833333333333334,36,0.6944444444444444,36,0.7222222222222222,36,0.8055555555555556
strategyqa_real,llama-3.3-70b,36,0.9166666666666666,36,0.9444444444444444,36,0.8611111111111112,36,0.9166666666666666,36,0.9166666666666666,36,0.9444444444444444,36,0.9166666666666666,36,0.9444444444444444
strategyqa_real,mistral-nemo-12b,36,0.8055555555555556,36,0.8333333333333334,36,0.8055555555555556,36,0.8888888888888888,36,0.7777777777777778,28,0.7142857142857143,36,0.75,36,0.8611111111111112
strategyqa_real,qwen-2.5-7b,35,0.8285714285714286,35,0.8285714285714286,35,0.8285714285714286,35,0.9142857142857143,35,0.8,12,0.6666666666666666,35,0.7714285714285715,35,0.8285714285714286
travelplanner_real,deepseek-v3,36,0.6111111111111112,36,0.5833333333333334,36,0.5555555555555556,36,0.8888888888888888,36,0.6111111111111112,36,0.3333333333333333,26,0.4230769230769231,36,0.7222222222222222
travelplanner_real,gemini-2.5-flash,36,0.5833333333333334,36,0.1388888888888889,35,0.6571428571428571,36,0.6111111111111112,36,0.6666666666666666,35,0.08571428571428572,19,0.10526315789473684,36,0.6388888888888888
travelplanner_real,gpt-oss-20b,36,0.3611111111111111,36,0.5277777777777778,35,0.37142857142857144,36,0.7222222222222222,36,0.25,0,,0,,36,0.4722222222222222
travelplanner_real,llama-3.1-8b,36,0.5277777777777778,36,0.5277777777777778,36,0.5277777777777778,36,0.8055555555555556,36,0.4722222222222222,33,0.6363636363636364,31,0.7419354838709677,36,0.6666666666666666
travelplanner_real,llama-3.3-70b,36,0.25,36,0.4166666666666667,36,0.2222222222222222,36,0.25,36,0.25,36,0.3611111111111111,29,0.3448275862068966,36,0.3333333333333333
travelplanner_real,mistral-nemo-12b,36,0.25,36,0.3611111111111111,36,0.2777777777777778,36,0.4166666666666667,36,0.19444444444444445,33,0.0,31,0.22580645161290322,36,0.2777777777777778
travelplanner_real,qwen-2.5-7b,36,0.4166666666666667,36,0.5277777777777778,36,0.4166666666666667,36,0.6666666666666666,36,0.3888888888888889,36,0.3611111111111111,32,0.34375,35,0.5428571428571428
truthfulqa_real,deepseek-v3,36,0.3888888888888889,36,0.3333333333333333,36,0.2222222222222222,36,0.8333333333333334,36,0.3611111111111111,36,0.5277777777777778,36,0.4722222222222222,36,0.4166666666666667
truthfulqa_real,gemini-2.5-flash,36,0.4166666666666667,36,0.3055555555555556,36,0.3333333333333333,36,0.75,36,0.3611111111111111,36,0.3611111111111111,36,0.4166666666666667,36,0.4444444444444444
truthfulqa_real,gpt-oss-20b,36,0.6388888888888888,36,0.7222222222222222,36,0.6944444444444444,36,0.9166666666666666,36,0.7222222222222222,15,0.6666666666666666,27,0.6666666666666666,36,0.7222222222222222
truthfulqa_real,llama-3.1-8b,36,0.8055555555555556,36,0.7222222222222222,36,0.6111111111111112,36,0.9444444444444444,36,0.8611111111111112,36,0.7777777777777778,36,0.9166666666666666,36,0.9444444444444444
truthfulqa_real,llama-3.3-70b,36,0.8333333333333334,36,0.75,36,0.6111111111111112,36,0.9166666666666666,36,0.8055555555555556,36,0.8055555555555556,36,0.8333333333333334,36,0.8333333333333334
truthfulqa_real,mistral-nemo-12b,36,0.6388888888888888,36,0.6388888888888888,36,0.6111111111111112,36,0.8055555555555556,36,0.6944444444444444,23,0.5652173913043478,33,0.7272727272727273,36,0.8611111111111112
truthfulqa_real,qwen-2.5-7b,38,0.631578947368421,38,0.5263157894736842,38,0.34210526315789475,38,0.6842105263157895,36,0.5833333333333334,11,0.45454545454545453,38,0.6578947368421053,38,0.7894736842105263
