,n,success_rate,violation_rate,tokens_input_mean,tokens_output_mean,latency_ms_mean,delta_success,delta_success_ci_low,delta_success_ci_high,mcnemar_success_p,delta_tokens,delta_tokens_ci_low,delta_tokens_ci_high,wilcoxon_tokens_p,delta_violation,delta_violation_ci_low,delta_violation_ci_high,mcnemar_violation_p,degradation_rate,delta_success_per_task,holm_success_p_adj,holm_success_reject,holm_tokens_p_adj,holm_tokens_reject,holm_violation_p_adj,holm_violation_reject
direct,59.0,0.9322033898305084,0.06779661016949153,1623.2203389830509,372.8135593220339,0.013507016805213703,,,,,,,,,,,,,,,,,,,,
full_regen,58,0.896551724137931,0.10344827586206896,3240.5862068965516,753.4827586206897,7852.83982760302,-0.034482758620689655,-0.10344827586206896,0.034482758620689655,0.625,2001.655172413793,1941.119396551724,2064.0525862068966,3.504284870854177e-11,0.034482758620689655,-0.034482758620689655,0.10344827586206896,0.625,0.05555555555555555,-0.034482758620689655,1.0,False,6.658141254622937e-10,True,1.0,False
intro_specter_llm,59,0.9322033898305084,0.06779661016949153,3895.0508474576272,858.8813559322034,17784.1667230849,0.0,0.0,0.0,1.0,2757.898305084746,2683.572033898305,2837.0033898305082,2.3897074592223747e-11,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,5.015128574579016e-10,True,1.0,False
react,58,0.8793103448275862,0.1206896551724138,3295.448275862069,1097.4310344827586,21349.774594947718,-0.05172413793103448,-0.1206896551724138,0.0,0.25,2399.2413793103447,2328.0172413793102,2470.8978448275866,3.504873514805207e-11,0.05172413793103448,0.0,0.1206896551724138,0.25,0.05555555555555555,-0.05172413793103448,1.0,False,6.658141254622937e-10,True,1.0,False
reflexion,59,0.9661016949152542,0.03389830508474576,2069.5423728813557,435.1864406779661,1058.5705867794122,0.03389830508474576,0.0,0.0847457627118644,0.5,508.6949152542373,71.79661016949153,1092.3559322033898,0.125,-0.03389830508474576,-0.0847457627118644,0.0,0.5,0.0,0.03389830508474576,1.0,False,1.0,False,1.0,False
self_refine,59,0.864406779661017,0.13559322033898305,3743.6610169491523,973.6440677966102,18360.10282981245,-0.06779661016949153,-0.13559322033898305,-0.01694915254237288,0.125,2721.271186440678,2627.592372881356,2820.9716101694917,2.3881564640852458e-11,0.06779661016949153,0.01694915254237288,0.13559322033898305,0.125,0.07272727272727272,-0.06779661016949153,1.0,False,5.015128574579016e-10,True,1.0,False
selfcheckgpt,58,0.8793103448275862,0.1206896551724138,9758.775862068966,650.1724137931035,9080.822044534905,-0.05172413793103448,-0.1206896551724138,0.0,0.25,8408.655172413793,8106.2185344827585,8717.302586206895,3.5060510731588664e-11,0.05172413793103448,0.0,0.1206896551724138,0.25,0.05555555555555555,-0.05172413793103448,1.0,False,6.658141254622937e-10,True,1.0,False
tot,56,0.9285714285714286,0.07142857142857142,25107.625,1404.9464285714287,31231.60661760695,0.0,-0.07142857142857142,0.07142857142857142,1.0,24516.160714285714,20083.476785714287,29619.40848214286,7.547498213151495e-11,0.0,-0.07142857142857142,0.07142857142857142,1.0,0.038461538461538464,0.0,1.0,False,1.2075997141042392e-09,True,1.0,False
