,n,success_rate,violation_rate,tokens_input_mean,tokens_output_mean,latency_ms_mean,delta_success,delta_success_ci_low,delta_success_ci_high,mcnemar_success_p,delta_tokens,delta_tokens_ci_low,delta_tokens_ci_high,wilcoxon_tokens_p,delta_violation,delta_violation_ci_low,delta_violation_ci_high,mcnemar_violation_p,degradation_rate,delta_success_per_task,holm_success_p_adj,holm_success_reject,holm_tokens_p_adj,holm_tokens_reject,holm_violation_p_adj,holm_violation_reject
direct,60.0,0.6333333333333333,0.36666666666666664,1896.0833333333333,268.01666666666665,0.01792851750603101,,,,,,,,,,,,,,,,,,,,
full_regen,60,0.6333333333333333,0.36666666666666664,3796.1666666666665,523.9333333333333,6758.851430566817,0.0,-0.1,0.1,1.0,2156.0,2101.133333333333,2214.7341666666666,1.6285331829622064e-11,0.0,-0.1,0.1,1.0,0.10526315789473684,0.0,1.0,False,3.4199196842206335e-10,True,1.0,False
intro_specter_llm,60,0.7833333333333333,0.21666666666666667,4260.533333333334,698.7,18510.169706283585,0.15,0.06666666666666667,0.25,0.00390625,2795.133333333333,2684.2329166666664,2923.384583333333,1.6293000864348577e-11,-0.15,-0.25,-0.06666666666666667,0.00390625,0.0,0.15,0.0546875,False,3.4199196842206335e-10,True,0.0546875,False
react,60,0.6166666666666667,0.38333333333333336,3846.9666666666667,973.9833333333333,11444.597113300917,-0.016666666666666666,-0.13333333333333333,0.1,1.0,2656.85,2574.081666666667,2744.0170833333336,1.6290444152540584e-11,0.016666666666666666,-0.1,0.13333333333333333,1.0,0.18421052631578946,-0.016666666666666666,1.0,False,3.4199196842206335e-10,True,1.0,False
reflexion,60,0.7666666666666667,0.23333333333333334,4862.45,628.3333333333334,9063.7679777672,0.13333333333333333,0.05,0.21666666666666667,0.0078125,3326.6833333333334,2123.80875,4641.968333333333,4.76837158203125e-07,-0.13333333333333333,-0.21666666666666667,-0.05,0.0078125,0.0,0.13333333333333333,0.09375,False,7.152557373046875e-06,True,0.09375,False
self_refine,60,0.5166666666666667,0.48333333333333334,4109.933333333333,738.0666666666667,7692.316206916803,-0.11666666666666667,-0.21666666666666667,-0.016666666666666666,0.0654296875,2683.9,2567.4991666666665,2810.7670833333336,1.629555794311934e-11,0.11666666666666667,0.016666666666666666,0.21666666666666667,0.0654296875,0.23684210526315788,-0.11666666666666667,0.5234375,False,3.4199196842206335e-10,True,0.5234375,False
selfcheckgpt,60,0.5,0.5,11782.7,438.5833333333333,5085.561740232515,-0.13333333333333333,-0.25,-0.03333333333333333,0.03857421875,10057.183333333332,9704.491250000001,10422.194583333332,1.629555794311934e-11,0.13333333333333333,0.03333333333333333,0.25,0.03857421875,0.2631578947368421,-0.13333333333333333,0.3857421875,False,3.4199196842206335e-10,True,0.3857421875,False
tot,60,0.55,0.45,61870.583333333336,2385.3166666666666,44818.992283365755,-0.08333333333333333,-0.21666666666666667,0.05,0.332305908203125,62091.8,52846.642499999994,70594.64833333333,1.629555794311934e-11,0.08333333333333333,-0.05,0.21666666666666667,0.332305908203125,0.2894736842105263,-0.08333333333333333,1.0,False,3.4199196842206335e-10,True,1.0,False
