,n,success_rate,violation_rate,tokens_input_mean,tokens_output_mean,latency_ms_mean,delta_success,delta_success_ci_low,delta_success_ci_high,mcnemar_success_p,delta_tokens,delta_tokens_ci_low,delta_tokens_ci_high,wilcoxon_tokens_p,delta_violation,delta_violation_ci_low,delta_violation_ci_high,mcnemar_violation_p,degradation_rate,delta_success_per_task,holm_success_p_adj,holm_success_reject,holm_tokens_p_adj,holm_tokens_reject,holm_violation_p_adj,holm_violation_reject
direct,60.0,0.8,0.2,1772.0333333333333,311.48333333333335,0.045189529191702604,,,,,,,,,,,,,,,,,,,,
full_regen,60,0.8,0.2,3544.65,646.7,9452.088972895095,0.0,-0.1,0.1,1.0,2107.8333333333335,2066.3,2149.633333333333,1.6290444152540584e-11,0.0,-0.1,0.1,1.0,0.10416666666666667,0.0,1.0,False,3.4193830058674804e-10,True,1.0,False
intro_specter_llm,60,0.85,0.15,4136.333333333333,758.9833333333333,21795.472741732374,0.05,0.0,0.11666666666666667,0.25,2811.8,2742.9491666666663,2882.38375,1.6293000864348577e-11,-0.05,-0.11666666666666667,0.0,0.25,0.0,0.05,1.0,False,3.4193830058674804e-10,True,1.0,False
react,60,0.65,0.35,3598.233333333333,809.05,14115.821068764975,-0.15,-0.26666666666666666,-0.0495833333333394,0.0224609375,2323.766666666667,2280.8325,2367.3345833333333,1.6282776218416573e-11,0.15,0.04958333333333703,0.26666666666666666,0.0224609375,0.22916666666666666,-0.15,0.26953125,False,3.4193830058674804e-10,True,0.26953125,False
reflexion,60,0.8333333333333334,0.16666666666666666,3518.233333333333,497.03333333333336,5500.038073611601,0.03333333333333333,0.0,0.08333333333333333,0.5,1931.75,990.7258333333335,2966.8708333333334,0.00048828125,-0.03333333333333333,-0.08333333333333333,0.0,0.5,0.0,0.03333333333333333,1.0,False,0.00732421875,True,1.0,False
self_refine,60,0.6333333333333333,0.36666666666666664,3981.75,827.1333333333333,13779.887845091676,-0.16666666666666666,-0.2833333333333333,-0.05,0.012939453125,2725.366666666667,2659.7324999999996,2791.2670833333336,1.629555794311934e-11,0.16666666666666666,0.05,0.2833333333333333,0.012939453125,0.25,-0.16666666666666666,0.18115234375,False,3.4193830058674804e-10,True,0.18115234375,False
selfcheckgpt,60,0.75,0.25,10909.35,504.46666666666664,13011.58347503903,-0.05,-0.16666666666666666,0.05,0.548828125,9330.3,9075.698750000001,9603.284583333332,1.6293000864348577e-11,0.05,-0.05,0.16666666666666666,0.548828125,0.14583333333333334,-0.05,1.0,False,3.4193830058674804e-10,True,1.0,False
tot,22,0.7727272727272727,0.22727272727272727,80041.18181818182,2517.3636363636365,125343.85285996408,0.0,-0.18181818181818182,0.18181818181818182,1.0,80455.45454545454,77895.38977272727,83064.75113636364,4.76837158203125e-07,0.0,-0.18181818181818182,0.18181818181818182,1.0,0.11764705882352941,0.0,1.0,False,7.62939453125e-06,True,1.0,False
