tau,coverage,selective_success,selective_risk,false_commit_rate,overall_success,n_committed,n_abstained
0.0,1.0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,15,0
0.049999999999999996,1.0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,15,0
0.09999999999999999,1.0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,15,0
0.15,1.0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,15,0
0.19999999999999998,1.0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,15,0
0.24999999999999997,1.0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,15,0
0.3,1.0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,15,0
0.35,1.0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,15,0
0.39999999999999997,1.0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,15,0
0.44999999999999996,1.0,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333,15,0
0.49999999999999994,0.9333333333333333,0.5,0.5,0.5,0.4666666666666667,14,1
0.5499999999999999,0.9333333333333333,0.5,0.5,0.5,0.4666666666666667,14,1
0.6,0.9333333333333333,0.5,0.5,0.5,0.4666666666666667,14,1
0.6499999999999999,0.9333333333333333,0.5,0.5,0.5,0.4666666666666667,14,1
0.7,0.8,0.5,0.5,0.5,0.4,12,3
0.7499999999999999,0.7333333333333333,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.3333333333333333,11,4
0.7999999999999999,0.5333333333333333,0.375,0.625,0.625,0.2,8,7
0.85,0.4666666666666667,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2,7,8
0.8999999999999999,0.4,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.13333333333333333,6,9
0.95,0.26666666666666666,0.0,1.0,1.0,0.0,4,11
