tau,coverage,selective_success,selective_risk,false_commit_rate,overall_success,n_committed,n_abstained
0.0,1.0,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,27,0
0.049999999999999996,1.0,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,27,0
0.09999999999999999,1.0,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,27,0
0.15,1.0,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,27,0
0.19999999999999998,1.0,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,27,0
0.24999999999999997,1.0,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,27,0
0.3,0.9629629629629629,0.4230769230769231,0.5769230769230769,0.5769230769230769,0.4074074074074074,26,1
0.35,0.9629629629629629,0.4230769230769231,0.5769230769230769,0.5769230769230769,0.4074074074074074,26,1
0.39999999999999997,0.9259259259259259,0.44,0.56,0.56,0.4074074074074074,25,2
0.44999999999999996,0.9259259259259259,0.44,0.56,0.56,0.4074074074074074,25,2
0.49999999999999994,0.8148148148148148,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.37037037037037035,22,5
0.5499999999999999,0.7777777777777778,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.3333333333333333,21,6
0.6,0.7407407407407407,0.45,0.55,0.55,0.3333333333333333,20,7
0.6499999999999999,0.6666666666666666,0.3888888888888889,0.6111111111111112,0.6111111111111112,0.25925925925925924,18,9
0.7,0.6296296296296297,0.4117647058823529,0.5882352941176471,0.5882352941176471,0.25925925925925924,17,10
0.7499999999999999,0.6296296296296297,0.4117647058823529,0.5882352941176471,0.5882352941176471,0.25925925925925924,17,10
0.7999999999999999,0.6296296296296297,0.4117647058823529,0.5882352941176471,0.5882352941176471,0.25925925925925924,17,10
0.85,0.5555555555555556,0.4,0.6,0.6,0.2222222222222222,15,12
0.8999999999999999,0.5185185185185185,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2222222222222222,14,13
0.95,0.4444444444444444,0.5,0.5,0.5,0.2222222222222222,12,15
