tau,coverage,selective_success,selective_risk,false_commit_rate,overall_success,n_committed,n_abstained
0.0,1.0,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.2727272727272727,33,0
0.049999999999999996,1.0,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.2727272727272727,33,0
0.09999999999999999,1.0,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.2727272727272727,33,0
0.15,1.0,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.2727272727272727,33,0
0.19999999999999998,1.0,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.2727272727272727,33,0
0.24999999999999997,0.9393939393939394,0.2903225806451613,0.7096774193548387,0.7096774193548387,0.2727272727272727,31,2
0.3,0.8787878787878788,0.3103448275862069,0.6896551724137931,0.6896551724137931,0.2727272727272727,29,4
0.35,0.7272727272727273,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.24242424242424243,24,9
0.39999999999999997,0.6363636363636364,0.38095238095238093,0.6190476190476191,0.6190476190476191,0.24242424242424243,21,12
0.44999999999999996,0.5151515151515151,0.47058823529411764,0.5294117647058824,0.5294117647058824,0.24242424242424243,17,16
0.49999999999999994,0.42424242424242425,0.5,0.5,0.5,0.21212121212121213,14,19
0.5499999999999999,0.42424242424242425,0.5,0.5,0.5,0.21212121212121213,14,19
0.6,0.3333333333333333,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.18181818181818182,11,22
0.6499999999999999,0.30303030303030304,0.6,0.4,0.4,0.18181818181818182,10,23
0.7,0.30303030303030304,0.6,0.4,0.4,0.18181818181818182,10,23
0.7499999999999999,0.30303030303030304,0.6,0.4,0.4,0.18181818181818182,10,23
0.7999999999999999,0.30303030303030304,0.6,0.4,0.4,0.18181818181818182,10,23
0.85,0.24242424242424243,0.75,0.25,0.25,0.18181818181818182,8,25
0.8999999999999999,0.12121212121212122,0.75,0.25,0.25,0.09090909090909091,4,29
0.95,0.12121212121212122,0.75,0.25,0.25,0.09090909090909091,4,29
