tau,coverage,selective_success,selective_risk,false_commit_rate,overall_success,n_committed,n_abstained
0.0,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.049999999999999996,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.09999999999999999,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.15,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.19999999999999998,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.24999999999999997,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.3,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.35,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.39999999999999997,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.44999999999999996,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.49999999999999994,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.5499999999999999,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.6,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,15,0
0.6499999999999999,0.9333333333333333,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.26666666666666666,14,1
0.7,0.8,0.25,0.75,0.75,0.2,12,3
0.7499999999999999,0.8,0.25,0.75,0.75,0.2,12,3
0.7999999999999999,0.7333333333333333,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.2,11,4
0.85,0.6666666666666666,0.3,0.7,0.7,0.2,10,5
0.8999999999999999,0.4666666666666667,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.06666666666666667,7,8
0.95,0.4666666666666667,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.06666666666666667,7,8
