model,n,n_repaired,n_accepted,repair_rate,mean_candidates,median_candidates,mean_posterior_entropy,mean_posterior_concentration,mean_chosen_rank,fraction_chosen_is_top1,mean_chosen_posterior
Llama 3.3 70B,60,1,58,0.016666666666666666,3.0,3.0,0.9791552635007925,0.14999999999999983,1.0,1.0,0.5
Llama 3.1 8B,60,3,51,0.05,2.3333333333333335,1.0,0.27027442898826415,0.7673563218390805,1.2222222222222223,0.7777777777777778,0.769272030651341
DeepSeek V3,60,8,45,0.13333333333333333,2.933333333333333,3.0,0.4324835337054955,0.6955935194812292,1.4,0.8,0.7276348796170485
DeepSeek V3.1,60,4,45,0.06666666666666667,1.8666666666666667,2.0,0.29750194921517886,0.7721243651678436,1.1333333333333333,0.9333333333333333,0.8330707295924688
Mistral Nemo 12B,60,10,44,0.16666666666666666,2.0,2.0,0.3583071373688297,0.7397984084441797,1.25,0.8125,0.8056630931109787
Qwen 2.5 7B,60,12,33,0.2,2.2222222222222223,2.0,0.4413354469401591,0.6458236353162468,1.2222222222222223,0.8518518518518519,0.7715371413198565
gpt-oss-20b,60,6,30,0.1,2.16,2.0,0.4152988214004064,0.6854609601362981,1.2,0.88,0.7936842105390471
Gemini 2.5 Flash,60,9,27,0.15,4.242424242424242,5.0,0.907459457682872,0.30081056974402376,1.3636363636363635,0.7272727272727273,0.5139536544821055
