benchmark,method,n,success,violation,tokens_total,delta_success_vs_direct,ci_low,ci_high,mcnemar_p,wilcoxon_tokens_p,holm_success_adj
Profile-MuSiQue (Qwen 2.5 7B),react,59,0.6779661016949152,0.3220338983050847,2019.491525423729,0.10714285714285714,0.0,0.21428571428571427,0.109375,7.537983771535812e-11,0.4375
Profile-MuSiQue (Qwen 2.5 7B),reflexion,58,0.7068965517241379,0.29310344827586204,3050.948275862069,0.12727272727272726,0.05454545454545454,0.21818181818181817,0.015625,2.6987022409679446e-05,0.09375
Profile-MuSiQue (Qwen 2.5 7B),self_refine,59,0.4067796610169492,0.5932203389830508,2580.779661016949,-0.17857142857142858,-0.30357142857142855,-0.05357142857142857,0.021270751953125,7.547498213151495e-11,0.106353759765625
Profile-MuSiQue (Qwen 2.5 7B),selfcheckgpt,58,0.5862068965517241,0.41379310344827586,3669.5689655172414,0.01818181818181818,-0.03636363636363636,0.07272727272727272,1.0,1.1063742816884329e-10,1.0
Profile-MuSiQue (Qwen 2.5 7B),tot,34,0.6764705882352942,0.3235294117647059,29084.323529411766,0.09375,-0.09375,0.28125,0.5078125,4.656612873077393e-10,1.0
Profile-MuSiQue (Gemini 2.5 Flash),direct,60,0.5,0.5,1022.4,,,,,,
Profile-MuSiQue (Gemini 2.5 Flash),full_regen,60,0.48333333333333334,0.5166666666666667,2071.9333333333334,-0.016666666666666666,-0.08333333333333333,0.05,1.0,1.6272557440845505e-11,1.0
Profile-MuSiQue (Gemini 2.5 Flash),intro_specter_llm,60,0.8333333333333334,0.16666666666666666,2892.55,0.3333333333333333,0.21666666666666667,0.45,1.9073486328125e-06,1.6287887807647548e-11,1.1444091796875e-05
Profile-MuSiQue (Gemini 2.5 Flash),react,60,0.7666666666666667,0.23333333333333334,2157.7,0.26666666666666666,0.13333333333333333,0.4,0.0004024505615234375,1.6285331829622064e-11,0.0020122528076171875
Profile-MuSiQue (Gemini 2.5 Flash),reflexion,60,0.8666666666666667,0.13333333333333333,3437.7,0.36666666666666664,0.25,0.48374999999999396,4.76837158203125e-07,1.862645149230957e-09,3.337860107421875e-06
Profile-MuSiQue (Gemini 2.5 Flash),self_refine,59,0.5084745762711864,0.4915254237288136,2689.169491525424,0.0,-0.0847457627118644,0.0847457627118644,1.0,2.3900953516978203e-11,1.0
Profile-MuSiQue (Gemini 2.5 Flash),selfcheckgpt,60,0.5,0.5,3998.5666666666666,0.0,0.0,0.0,1.0,1.6267450251745625e-11,1.0
Profile-MuSiQue (Gemini 2.5 Flash),tot,60,0.7,0.3,6460.55,0.2,0.06666666666666667,0.3333333333333333,0.007537841796875,1.6293000864348577e-11,0.0301513671875
Profile-StrategyQA (DeepSeek V3),direct,60,0.7166666666666667,0.2833333333333333,854.0666666666667,,,,,,
Profile-StrategyQA (DeepSeek V3),full_regen,60,0.7,0.3,1728.3666666666668,-0.016666666666666666,-0.11666666666666667,0.08333333333333333,1.0,1.6287887807647548e-11,1.0
Profile-StrategyQA (DeepSeek V3),intro_specter_llm,60,0.85,0.15,2306.5833333333335,0.13333333333333333,0.05,0.23333333333333334,0.0078125,1.6285331829622064e-11,0.046875
Profile-StrategyQA (DeepSeek V3),react,60,0.6833333333333333,0.31666666666666665,2050.766666666667,-0.03333333333333333,-0.16666666666666666,0.1,0.803619384765625,1.6287887807647548e-11,1.0
Profile-StrategyQA (DeepSeek V3),reflexion,60,0.8333333333333334,0.16666666666666666,2338.8333333333335,0.11666666666666667,0.05,0.2,0.015625,1.52587890625e-05,0.078125
Profile-StrategyQA (DeepSeek V3),self_refine,60,0.18333333333333332,0.8166666666666667,2333.8166666666666,-0.5333333333333333,-0.6666666666666666,-0.4,4.0745362639427185e-09,1.6293000864348577e-11,3.259629011154175e-08
Profile-StrategyQA (DeepSeek V3),selfcheckgpt,60,0.6666666666666666,0.3333333333333333,3768.7333333333336,-0.05,-0.11666666666666667,0.0,0.25,1.6287887807647548e-11,1.0
Profile-StrategyQA (DeepSeek V3),tot,60,0.7333333333333333,0.26666666666666666,7422.283333333334,0.016666666666666666,-0.1,0.13333333333333333,1.0,1.6287887807647548e-11,1.0
Profile-StrategyQA (Mistral Nemo 12B),direct,60,0.8833333333333333,0.11666666666666667,821.5166666666667,,,,,,
Profile-StrategyQA (Mistral Nemo 12B),full_regen,60,0.8333333333333334,0.16666666666666666,1624.3833333333334,-0.05,-0.15,0.05,0.5078125,1.6264897206950893e-11,1.0
Profile-StrategyQA (Mistral Nemo 12B),intro_specter_llm,60,0.9666666666666667,0.03333333333333333,2225.133333333333,0.08333333333333333,0.016666666666666666,0.16666666666666666,0.0625,1.6285331829622064e-11,0.3125
Profile-StrategyQA (Mistral Nemo 12B),react,60,0.55,0.45,1871.2333333333333,-0.3333333333333333,-0.4666666666666667,-0.18333333333333332,8.797645568847656e-05,1.6290444152540584e-11,0.0006158351898193359
Profile-StrategyQA (Mistral Nemo 12B),reflexion,60,0.9333333333333333,0.06666666666666667,1430.15,0.05,0.0,0.11666666666666667,0.25,0.015625,1.0
Profile-StrategyQA (Mistral Nemo 12B),self_refine,60,0.48333333333333334,0.5166666666666667,2250.7666666666664,-0.4,-0.5333333333333333,-0.2833333333333333,1.1920928955078125e-07,1.6285331829622064e-11,9.5367431640625e-07
Profile-StrategyQA (Mistral Nemo 12B),selfcheckgpt,59,0.8305084745762712,0.1694915254237288,3667.0677966101694,-0.05084745762711865,-0.11864406779661017,0.0,0.25,2.3889318467162143e-11,1.0
Profile-StrategyQA (Mistral Nemo 12B),tot,41,0.8780487804878049,0.12195121951219512,27667.341463414632,-0.024390243902439025,-0.17073170731707318,0.12195121951219512,1.0,9.094947017729282e-13,1.0
Profile-StrategyQA (Qwen 2.5 7B),direct,60,0.65,0.35,877.8333333333333,,,,,,
Profile-StrategyQA (Qwen 2.5 7B),full_regen,60,0.6333333333333333,0.36666666666666664,1748.8,-0.016666666666666666,-0.13333333333333333,0.1,1.0,1.629555794311934e-11,1.0
Profile-StrategyQA (Qwen 2.5 7B),intro_specter_llm,60,0.75,0.25,2342.7,0.1,0.03333333333333333,0.18333333333333332,0.03125,1.6285331829622064e-11,0.1875
Profile-StrategyQA (Qwen 2.5 7B),react,60,0.6666666666666666,0.3333333333333333,1966.4666666666667,0.016666666666666666,-0.08333333333333333,0.11666666666666667,1.0,1.6293000864348577e-11,1.0
Profile-StrategyQA (Qwen 2.5 7B),reflexion,60,0.7333333333333333,0.26666666666666666,2949.25,0.08333333333333333,0.016666666666666666,0.16666666666666666,0.0625,9.5367431640625e-07,0.25
Profile-StrategyQA (Qwen 2.5 7B),self_refine,58,0.1896551724137931,0.8103448275862069,2427.189655172414,-0.4482758620689655,-0.5689655172413793,-0.3275862068965517,2.9802322387695312e-08,3.505462248902624e-11,2.384185791015625e-07
Profile-StrategyQA (Qwen 2.5 7B),selfcheckgpt,60,0.6666666666666666,0.3333333333333333,3512.733333333333,0.016666666666666666,0.0,0.05,1.0,1.6241936287914413e-11,1.0
Profile-StrategyQA (Qwen 2.5 7B),tot,44,0.7727272727272727,0.22727272727272727,20812.954545454544,0.18181818181818182,0.045454545454545456,0.3181818181818182,0.03857421875,1.1368683772161603e-13,0.19287109375
Profile-StrategyQA (Gemini 2.5 Flash),direct,60,0.6333333333333333,0.36666666666666664,1091.9666666666667,,,,,,
Profile-StrategyQA (Gemini 2.5 Flash),full_regen,60,0.6166666666666667,0.38333333333333336,2185.5166666666664,-0.016666666666666666,-0.05,0.0,1.0,1.6287887807647548e-11,1.0
Profile-StrategyQA (Gemini 2.5 Flash),intro_specter_llm,60,0.85,0.15,3042.6833333333334,0.21666666666666667,0.11666666666666667,0.3333333333333333,0.000244140625,1.6293000864348577e-11,0.001708984375
Profile-StrategyQA (Gemini 2.5 Flash),react,60,0.7166666666666667,0.2833333333333333,2248.633333333333,0.08333333333333333,-0.016666666666666666,0.18333333333333332,0.2265625,1.6280220973983744e-11,0.6796875
Profile-StrategyQA (Gemini 2.5 Flash),reflexion,60,0.85,0.15,3291.3500000000004,0.21666666666666667,0.11666666666666667,0.31666666666666665,0.000244140625,4.76837158203125e-07,0.001708984375
Profile-StrategyQA (Gemini 2.5 Flash),self_refine,59,0.559322033898305,0.4406779661016949,2978.2033898305085,-0.06779661016949153,-0.13559322033898305,-0.01694915254237288,0.125,2.3897074592223747e-11,0.5
Profile-StrategyQA (Gemini 2.5 Flash),selfcheckgpt,60,0.6166666666666667,0.38333333333333336,4228.016666666666,-0.016666666666666666,-0.05,0.0,1.0,1.624703615105676e-11,1.0
Profile-StrategyQA (Gemini 2.5 Flash),tot,60,0.8333333333333334,0.16666666666666666,5669.85,0.2,0.1,0.31666666666666665,0.0018310546875,1.629555794311934e-11,0.0091552734375
Real-HotpotQA (DeepSeek V3),detection_only,60,0.7,0.3,3982.5666666666666,0.0,0.0,0.0,1.0,1.6280220973983744e-11,1.0
Real-HotpotQA (DeepSeek V3),direct,60,0.7,0.3,1866.6166666666666,,,,,,
Real-HotpotQA (DeepSeek V3),full_regen,60,0.6666666666666666,0.3333333333333333,3749.3999999999996,-0.03333333333333333,-0.15,0.08333333333333333,0.7744140625,1.6290444152540584e-11,1.0
Real-HotpotQA (DeepSeek V3),intro_specter_llm,60,0.75,0.25,4432.583333333333,0.05,0.0,0.11666666666666667,0.25,1.6285331829622064e-11,1.0
Real-HotpotQA (DeepSeek V3),react,60,0.65,0.35,4142.483333333334,-0.05,-0.15,0.05,0.5078125,1.6285331829622064e-11,1.0
Real-HotpotQA (DeepSeek V3),reflexion,60,0.85,0.15,4399.433333333333,0.15,0.06666666666666667,0.25,0.00390625,7.62939453125e-06,0.01953125
Real-HotpotQA (DeepSeek V3),self_refine,60,0.36666666666666664,0.6333333333333333,4489.716666666667,-0.3333333333333333,-0.4666666666666667,-0.18333333333333332,8.797645568847656e-05,1.6290444152540584e-11,0.0005278587341308594
Real-HotpotQA (Mistral Nemo 12B),detection_only,60,0.6333333333333333,0.36666666666666664,4115.9,0.0,0.0,0.0,1.0,1.6280220973983744e-11,1.0
Real-HotpotQA (Mistral Nemo 12B),direct,60,0.6333333333333333,0.36666666666666664,1934.3999999999999,,,,,,
Real-HotpotQA (Mistral Nemo 12B),full_regen,60,0.7166666666666667,0.2833333333333333,3840.9666666666667,0.08333333333333333,-0.06666666666666667,0.23333333333333334,0.38331031799316406,1.6275111585245618e-11,0.7666206359863281
Real-HotpotQA (Mistral Nemo 12B),intro_specter_llm,60,0.7666666666666667,0.23333333333333334,4565.1,0.13333333333333333,0.05,0.23333333333333334,0.0078125,1.6290444152540584e-11,0.0390625
Real-HotpotQA (Mistral Nemo 12B),react,60,0.4666666666666667,0.5333333333333333,4067.9666666666667,-0.16666666666666666,-0.3,-0.03333333333333333,0.04138946533203125,1.6287887807647548e-11,0.125
Real-HotpotQA (Mistral Nemo 12B),reflexion,60,0.7333333333333333,0.26666666666666666,5455.366666666666,0.1,0.03333333333333333,0.18333333333333332,0.03125,4.76837158203125e-07,0.125
Real-HotpotQA (Mistral Nemo 12B),self_refine,60,0.38333333333333336,0.6166666666666667,4705.25,-0.25,-0.38333333333333336,-0.1,0.002599477767944336,1.6287887807647548e-11,0.015596866607666016
Real-HotpotQA (Qwen 2.5 7B),detection_only,60,0.5333333333333333,0.4666666666666667,3978.8666666666663,0.0,0.0,0.0,1.0,1.6290444152540584e-11,1.0
Real-HotpotQA (Qwen 2.5 7B),direct,60,0.5333333333333333,0.4666666666666667,1874.9333333333332,,,,,,
Real-HotpotQA (Qwen 2.5 7B),full_regen,60,0.6,0.4,3735.8500000000004,0.06666666666666667,-0.05,0.18333333333333332,0.3876953125,1.6287887807647548e-11,1.0
Real-HotpotQA (Qwen 2.5 7B),intro_specter_llm,59,0.711864406779661,0.288135593220339,4378.796610169491,0.1864406779661017,0.0847457627118644,0.288135593220339,0.0009765625,2.3897074592223747e-11,0.005859375
Real-HotpotQA (Qwen 2.5 7B),react,60,0.5333333333333333,0.4666666666666667,4000.5166666666664,0.0,-0.13333333333333333,0.13333333333333333,1.0,1.6285331829622064e-11,1.0
Real-HotpotQA (Qwen 2.5 7B),reflexion,60,0.6833333333333333,0.31666666666666665,5852.2,0.15,0.06666666666666667,0.25,0.00390625,7.450580596923828e-09,0.01953125
Real-HotpotQA (Qwen 2.5 7B),self_refine,60,0.4,0.6,4439.566666666667,-0.13333333333333333,-0.25,-0.03333333333333333,0.03857421875,1.6293000864348577e-11,0.154296875
Real-HotpotQA (Gemini 2.5 Flash),detection_only,60,0.5,0.5,4681.933333333333,0.0,0.0,0.0,1.0,1.6290444152540584e-11,1.0
Real-HotpotQA (Gemini 2.5 Flash),direct,60,0.5,0.5,2208.233333333333,,,,,,
Real-HotpotQA (Gemini 2.5 Flash),full_regen,60,0.4166666666666667,0.5833333333333334,4426.566666666667,-0.08333333333333333,-0.2,0.016666666666666666,0.2265625,1.6293000864348577e-11,0.6796875
Real-HotpotQA (Gemini 2.5 Flash),intro_specter_llm,60,0.6333333333333333,0.36666666666666664,5380.950000000001,0.13333333333333333,0.05,0.21666666666666667,0.0078125,1.6290444152540584e-11,0.0390625
Real-HotpotQA (Gemini 2.5 Flash),react,60,0.6,0.4,4471.383333333333,0.1,0.0,0.2,0.109375,1.6293000864348577e-11,0.4375
Real-HotpotQA (Gemini 2.5 Flash),reflexion,60,0.6833333333333333,0.31666666666666665,7787.066666666667,0.18333333333333332,0.08333333333333333,0.2833333333333333,0.0009765625,1.862645149230957e-09,0.005859375
Real-HotpotQA (Gemini 2.5 Flash),self_refine,59,0.4067796610169492,0.5932203389830508,5397.77966101695,-0.0847457627118644,-0.22033898305084745,0.03389830508474576,0.30175781249999994,2.3897074592223747e-11,0.6796875
