,n,success_rate,violation_rate,tokens_input_mean,tokens_output_mean,latency_ms_mean,delta_success,delta_success_ci_low,delta_success_ci_high,mcnemar_success_p,delta_tokens,delta_tokens_ci_low,delta_tokens_ci_high,wilcoxon_tokens_p,delta_violation,delta_violation_ci_low,delta_violation_ci_high,mcnemar_violation_p,degradation_rate,delta_success_per_task,holm_success_p_adj,holm_success_reject,holm_tokens_p_adj,holm_tokens_reject,holm_violation_p_adj,holm_violation_reject
direct,60.0,0.7,0.3,1928.1833333333334,179.25,0.017503466248551074,,,,,,,,,,,,,,,,,,,,
full_regen,60,0.6666666666666666,0.3333333333333333,3856.366666666667,357.68333333333334,6172.131057600321,-0.03333333333333333,-0.1,0.03333333333333333,0.625,2106.616666666667,2066.0991666666664,2146.3508333333334,1.6285331829622064e-11,0.03333333333333333,-0.03333333333333333,0.1,0.625,0.07142857142857142,-0.03333333333333333,1.0,False,3.4188464045365863e-10,True,1.0,False
intro_specter_llm,60,0.7166666666666667,0.2833333333333333,4240.583333333333,462.05,20768.061247266454,0.016666666666666666,0.0,0.05,1.0,2595.2,2533.44875,2657.7675000000004,1.6290444152540584e-11,-0.016666666666666666,-0.05,0.0,1.0,0.0,0.016666666666666666,1.0,False,3.4188464045365863e-10,True,1.0,False
react,60,0.6333333333333333,0.36666666666666664,3909.366666666667,617.0166666666667,12692.543034683451,-0.06666666666666667,-0.15,0.016666666666666666,0.21875,2418.95,2380.9333333333334,2455.3179166666664,1.6287887807647548e-11,0.06666666666666667,-0.016666666666666666,0.15,0.21875,0.11904761904761904,-0.06666666666666667,1.0,False,3.4188464045365863e-10,True,1.0,False
reflexion,60,0.7666666666666667,0.23333333333333334,4521.416666666667,323.5833333333333,6044.5252833167615,0.06666666666666667,0.016666666666666666,0.13333333333333333,0.125,2737.5666666666666,1702.7408333333335,3865.230833333333,7.62939453125e-06,-0.06666666666666667,-0.13333333333333333,-0.016666666666666666,0.125,0.0,0.06666666666666667,1.0,False,0.0001220703125,True,1.0,False
self_refine,60,0.6666666666666666,0.3333333333333333,4087.1666666666665,503.65,13060.782608349715,-0.03333333333333333,-0.11666666666666667,0.05,0.6875,2483.383333333333,2424.76625,2541.8016666666667,1.6280220973983744e-11,0.03333333333333333,-0.05,0.11666666666666667,0.6875,0.09523809523809523,-0.03333333333333333,1.0,False,3.4188464045365863e-10,True,1.0,False
selfcheckgpt,60,0.75,0.25,11552.066666666668,334.43333333333334,13813.878755549376,0.05,0.0,0.11666666666666667,0.25,9779.066666666668,9481.579583333334,10093.15375,1.629555794311934e-11,-0.05,-0.11666666666666667,0.0,0.25,0.0,0.05,1.0,False,3.4188464045365863e-10,True,1.0,False
tot,4,0.25,0.75,81722.75,2106.75,132664.54119799891,0.0,0.0,0.0,1.0,81662.25,67805.75,91847.0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False,1.0,False,1.0,False
